Key,Source,Context,English
perkMachineGunnerRank3LongDesc,progression,perk For,"All the combat has sharpened your skills and you are now a soldier. Deal 30% more damage, 15% faster fire rate and reload 20% faster. Commando Adrenaline: Each shot scored with automatic weapons gives you 2 stamina."
perkMachineGunnerRank4LongDesc,progression,perk For,"Your skill now matches the special forces. Deal 40% more damage, 20% faster fire rate and reload 25% faster. Commando Adrenaline: Each shot scored with automatic weapons gives you 4 stamina."
perkElectrocutionerRank1LongDesc,progression,perk Int,"Where are the instructions? You're smart, but remember to point it away from you and pull the trigger. Deal 10% more damage and stun victims 20% longer.\nUnlocks stun baton crafting."
perkElectrocutionerRank2LongDesc,progression,perk Int,"You are getting the hang of using stun batons to incapacitate your enemies. Deal 20% more damage, and stun victim 40% longer."
perkElectrocutionerRank3LongDesc,progression,perk Int,"You are getting dangerous with stun batons. You could probably knock out cattle if the zombies hadn't ate them all. Deal 30% more damage, and stun victims 60% longer."
perkElectrocutionerRank4LongDesc,progression,perk Int,"You are lethal with stun batons. Deal 40% more damage, and stun victims 80% longer."
perkTurretsRank1LongDesc,progression,perk Int,"You have some crazy innovative ideas but your implementation could use some work. Deal 10% more damage, 30% faster fire rate and reload an extra 10 rounds. Robot active range is increased from 10 to 14 meters.\nYou can deploy multiple robots but only the closest will be active.\nUnlocks Robotic Sledge crafting."
perkTurretsRank2LongDesc,progression,perk Int,"You are taking your projects to the next level now. Deal 20% more damage, 60% faster fire rate and reload an extra 20 rounds. Robot active range is 15 meters."
perkTurretsRank3LongDesc,progression,perk Int,"You have mastered the basics of automated weaponry. Deal 30% more damage, 90% faster fire rate and reload an extra 30 rounds. Robot active range is 16 meters."
perkTurretsRank4LongDesc,progression,perk Int,"You must be from the year 2077. You are creating some futuristic technology. Deal 40% more damage, 120% faster fire rate and reload an extra 40 rounds. Reload robot weapons 10% faster. Robot active range is 17 meters."
perkDeadEyeRank1LongDesc,progression,perk Per,"Pot Shot. You can hit the broad side of a barn and do 10% more damage with rifles. Aim and reload 10% faster. Unlocks hunting rifle crafting."
perkDeadEyeRank2LongDesc,progression,perk Per,"You are a rifleman and can hit a large rock at 30 yards. Deal 20% more damage, aim 20% faster, reload 15% faster."
perkDeadEyeRank3LongDesc,progression,perk Per,"You are now a marksman and can hold your own. Deal 30% more damage , aim 32% faster, reload 20% faster and use 10% less stamina aiming with rifles.\nKill Streak: Successive kills increase damage bonus by 10%, 20% to a maximum of 30%."
perkDeadEyeRank4LongDesc,progression,perk Per,"You are now a sharpshooter. Deal 40% more damage, aim 45% faster, reload 25% faster, and use 20% less stamina aiming with rifles.\nKill Streak: Successive kills increase damage bonus by 20%, 30% to a maximum of 40%."
perkJavelinMasterRank1LongDesc,progression,perk Per,Sticks and stones can't break my bones but if combined make a nice spear. Spears do 10% more damage and have 10% more range when thrown.\nUnlocks iron spear crafting.
perkJavelinMasterRank2LongDesc,progression,perk Per,Spears now inflict 20% more damage and have 20% more range when thrown.
perkJavelinMasterRank3LongDesc,progression,perk Per,You are now a Spearman. Spears inflict 30% more damage and have 30% more range when thrown.
perkJavelinMasterRank4LongDesc,progression,perk Per,You are now a Lanceman. Spears now inflict 40% more damage and have 40% more range.
perkSalvageOperationsRank1LongDesc,progression,perk Per,"Who knows what useful items can be found when tearing things apart? Deal 10% more damage, harvest 20% faster and gains 20% more resources with a wrench, ratchet or impact driver.\nUnlocks wrench crafting."
perkSalvageOperationsRank2LongDesc,progression,perk Per,"Most people call you scavver but at least it's an honest living. Deal 20% more damage, harvest 40% faster and gains 40% more resources with a wrench, ratchet or impact driver."
perkSalvageOperationsRank3LongDesc,progression,perk Per,"You seem to have a knack for salvaging more useful parts than the average scrapper. Deal 30% more damage, harvest 60% faster and gains 60% more resources with a wrench, ratchet or impact driver."
perkSalvageOperationsRank4LongDesc,progression,perk Per,"Your ability to gather salvaged parts is remarkable. Deal 40% more damage, harvest 80% faster and gains 80% more resources with a wrench, ratchet or impact driver."
perkBoomstickRank1LongDesc,progression,perk Str,"Maybe your aim isn't so good or you just like doing a lot of damage up close and personal. Either way a hobo with a shotgun is not to be messed with. Deal 10% more damage, 10% faster fire rate, and 10% faster reload. Stun enemies for 6 seconds.\nIncreases chance to dismember by 5%.\nUnlocks double barrel shotgun crafting."
perkBoomstickRank2LongDesc,progression,perk Str,"Roaming the wastelands as a nomad have improved your abilities with shotguns. Deal 20% more damage, 20% faster fire rate, and 15% faster reload.\nIncreases chance to dismember by 10%."
perkBoomstickRank3LongDesc,progression,perk Str,"If shotgun meets were still a thing, you'd be hitting those clay ducks and be considered a shotgun pro. Deal 30% more damage, 30% faster fire rate, and 20% faster reload. Stun enemies for 8 seconds."
perkBoomstickRank4LongDesc,progression,perk Str,"You are now very deadly with a shotgun and considered a shotgun master and master of the shotgun. Deal 40% more damage, 40% faster fire rate, and 25% faster reload."
perkHeavyArmorRank1LongDesc,progression,perk Str,"You might move a little awkward in heavy armor but you're alive to talk about it. Reduce heavy armor movement and stamina penalty by 5%. Improve durability by 50%.\nUnlocks iron armor crafting."
perkHeavyArmorRank2LongDesc,progression,perk Str,"You can take a hit! Reduce heavy armor movement and stamina penalty by 10%. Improve durability by 100%."
perkHeavyArmorRank3LongDesc,progression,perk Str,"Now we're talking about some serious protection. Reduce heavy armor movement and stamina penalty by 17%. Improve durability by 150%."
perkHeavyArmorRank4LongDesc,progression,perk Str,"You are now a walking tank. Reduce heavy armor movement and stamina penalty by 25%. Improve durability by 200%."
perkMiner69rRank1LongDesc,progression,perk Str,"Everyone has to start somewhere. Increase tool damage by 10% and block damage by 30% with any axe, pick, shovel, chainsaw or auger.\nUnlocks all iron tools like pickaxes."
perkMiner69rRank2LongDesc,progression,perk Str,"You are still a little green but you aren't fetching the muckmen blackstrap any more. Increase tool damage by 20% and block damage by 60% with any axe, pick, shovel, chainsaw or auger."
perkMiner69rRank3LongDesc,progression,perk Str,"You are now a professional miner or what they called muckmen back in the day. Increase tool damage by 30% and block damage by 90% with any axe, pick, shovel, chainsaw or auger."
perkMiner69rRank4LongDesc,progression,perk Str,"You can crack rock with the best of them now. Increase tool damage by 40% and block damage by 120% with any axe, pick, shovel, chainsaw or auger."
perkPummelPeteRank1LongDesc,progression,perk Str,"You might not pack a punch but as a roughneck you can swing a club! Deal 10% more damage and attacks do 40% more damage to stunned enemies. Power attacks have a 60% chance to knock foes back down.\nUnlocks baseball bat crafting."
perkPummelPeteRank2LongDesc,progression,perk Str,"You are making a name for yourself as a dangerous thug. Deal 20% more damage, attacks do 80% more damage to stunned enemies and power attacks have a 70% chance to knock foes back down."
perkPummelPeteRank3LongDesc,progression,perk Str,"You hit hard enough to be in the big leagues now. Deal 30% more damage, attacks do 120% more damage to stunned enemies and power attacks have a 80% chance to knock foes back down.\nLanding 5 successive hits in a short time causes the last blow to do 100% extra damage."
perkPummelPeteRank4LongDesc,progression,perk Str,"When you said stay down you meant it. Deal 40% more damage, attacks do 160% more damage to stunned enemies and power attacks have a 90% chance to knock foes back down.\n4 successive hits in a short time causes the last blow to do 100% extra damage."
perkSkullCrusherRank1LongDesc,progression,perk Str,You are a bruiser and with a little luck can sometimes knock down geriatric zombies. Deal 10% more damage. 15% chance to knock down enemies with power attacks.\nUnlocks iron sledgehammer crafting.
perkSkullCrusherRank2LongDesc,progression,perk Str,You are now a mauler but don't get too cocky yet. Deal 20% more damage. 30% chance to knock down enemies with power attacks.
perkSkullCrusherRank3LongDesc,progression,perk Str,You are a certified smasher of things that get in your way. Deal 30% more damage. Power attacks have a 45% chance to knock down enemies and a 20% chance to knock down nearby foes.
perkSkullCrusherRank4LongDesc,progression,perk Str,You have nearly perfected the craft of smashing stuff and breaking bones. Deal 40% more damage. Power attacks have a 60% chance to knock down enemies and a 35% chance to knock down nearby foes.
